작업신고번호,공사현장명,위치_소재지,건물명_설비명,해체제거업자사업체명,해체시작년월일,해체종료년월일,변경사유발생일자,순번,종류명,면적_부피_길이(제곱미터)
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-07-16,2022-07-25,2022-07-13,10,기타,4.6 ㎡
부 산 청-20220266,"경성대학교 1,2,3,12,26호관 석면해체,제거공사",(48434)부산광역시 남구 수영로 309(대연동) 경성대학교,경성대학교,청호건설(주),2022-07-17,2022-07-20,,5,벽   재,33.6 ㎡
부 산 청-20220266,"경성대학교 1,2,3,12,26호관 석면해체,제거공사",(48434)부산광역시 남구 수영로 309(대연동) 경성대학교,경성대학교,청호건설(주),2022-07-17,2022-07-20,,3,천장재,760.32 ㎡
부 산 청-20220269,대연3구역 C공구 주택재개발정비사업 중 석면해체제거작업(6차),(48460)부산광역시 남구 수영로172번길 6(대연동) 외 3개소,대연제일교회 외 4개소,태흥개발,2022-07-16,2022-07-29,,3,천장재,711.88 ㎡
부 산 청-20220269,대연3구역 C공구 주택재개발정비사업 중 석면해체제거작업(6차),(48460)부산광역시 남구 수영로172번길 6(대연동) 외 3개소,대연제일교회 외 4개소,태흥개발,2022-07-16,2022-07-29,,4,지붕재,233.97 ㎡
부 산 청-20220498,석포여자중학교 석면해체제거공사,(48536)부산광역시 남구 유엔평화로126번길 63(용당동) 석포여자중학교,석포여자중학교,(주)태광이엔씨,2022-12-30,2023-01-26,,3,천장재,4722.71 ㎡
부 산 청-20220498,석포여자중학교 석면해체제거공사,(48536)부산광역시 남구 유엔평화로126번길 63(용당동) 석포여자중학교,석포여자중학교,(주)태광이엔씨,2022-12-30,2023-01-26,,3,천장재,4722.71 ㎡
부 산 청-20220509,동천고등학교 석면천정 해체공사,(48429)부산광역시 남구 못골번영로 105(대연동) 동천고등학교,"동천고등학교 본관, 별관",휘람건설(주),2022-12-30,2023-01-31,2023-01-09,3,천장재,7276.88 ㎡
부 산 청-20220498,석포여자중학교 석면해체제거공사,(48536)부산광역시 남구 유엔평화로126번길 63(용당동) 석포여자중학교,석포여자중학교,(주)태광이엔씨,2022-12-30,2023-01-26,,3,천장재,4722.71 ㎡
부 산 청-20220508,"동명대학교 건축디자인관(50.8호,509호) 석면해체공사","(48520)부산광역시 남구 신선로 428 (용당동, 동명대학교)",동명대학교,계동건설주식회사,2022-12-28,2022-12-31,,3,천장재,179.58 ㎡
부 산 청-20220509,동천고등학교 석면천정 해체공사,(48429)부산광역시 남구 못골번영로 105(대연동) 동천고등학교,"동천고등학교 본관, 별관",휘람건설(주),2022-12-30,2023-01-14,,3,천장재,7276.88 ㎡
부 산 청-20220504,경성대학교 7호관 일부 석면해체 제거공사,(48434)부산광역시 남구 수영로 309(대연동) 경성대학교,경성대학교,세운건설,2022-12-24,2022-12-31,,3,천장재,651.2 ㎡
부 산 청-20220503,2022학년도 chang-up사업 반려동물보건학과 실습실 구축에 따른 천장석면해체제거공사(제1공학관 102호 중강의실),"(48520)부산광역시 남구 신선로 428 (용당동, 동명대학교)제1공학관 102 중강의실",동명대학교 제1공학관 102호 중강의실,계동건설주식회사,2022-12-24,2022-12-26,,3,천장재,90.64 ㎡
부 산 청-20220489,성지고등학교 석면천장교체 석면해체공사,"(48471)부산광역시 남구 유엔로 39 (우암동, 성지고등학교)",성지고등학교,휘람건설(주),2022-12-19,2023-01-16,,4,지붕재,1.95 ㎡
부 산 청-20220489,성지고등학교 석면천장교체 석면해체공사,"(48471)부산광역시 남구 유엔로 39 (우암동, 성지고등학교)",성지고등학교,휘람건설(주),2022-12-19,2023-01-16,,3,천장재,7913.03 ㎡
부 산 청-20220498,석포여자중학교 석면해체제거공사,(48536)부산광역시 남구 유엔평화로126번길 63(용당동) 석포여자중학교,석포여자중학교,(주)태광이엔씨,2022-12-30,2023-01-26,,3,천장재,4722.71 ㎡
부 산 청-20220488,이기대연합시장 주차장 조성공사 지정폐기물 철거공사 중 용호동 41-4 석면해체제거공사,(48522)부산광역시 남구 용호로42번길 66(용호동) 용호동 41-4,용호동 41-4,(주)동남석면환경연구소,2022-12-16,2023-01-31,,3,천장재,187.55 ㎡
부 산 청-20220488,이기대연합시장 주차장 조성공사 지정폐기물 철거공사 중 용호동 41-4 석면해체제거공사,(48522)부산광역시 남구 용호로42번길 66(용호동) 용호동 41-4,용호동 41-4,(주)동남석면환경연구소,2022-12-16,2023-01-31,,10,기타,3.78 ㎡
부 산 청-20220489,성지고등학교 석면천장교체 석면해체공사,"(48471)부산광역시 남구 유엔로 39 (우암동, 성지고등학교)",성지고등학교,휘람건설(주),2022-12-19,2023-01-16,,3,천장재,7913.03 ㎡
부 산 청-20220489,성지고등학교 석면천장교체 석면해체공사,"(48471)부산광역시 남구 유엔로 39 (우암동, 성지고등학교)",성지고등학교,휘람건설(주),2022-12-19,2023-01-16,,4,지붕재,1.95 ㎡
